Scientific name	Authority	Status
Ducula zoeae	"(Lesson, 1826)"	R
Ducula badia	"(Raffles, 1822)"	R
Ducula lacernulata	"(Temminck, 1823)"	R
Ducula cineracea	"(Temminck, 1835)"	R
Ducula bicolor	"(Scopoli, 1786)"	R
Ducula bicolor	"(Scopoli, 1786)"	NR
Ducula luctuosa	"(Temminck, 1825)"	R
Ducula spilorrhoa	"(Gray, 1858)"	NR
Ducula spilorrhoa	"(Gray, 1858)"	R
Ducula constans	"Bruce, 1989"	NR
Ducula subflavescens	"(Finsch, 1886)"	R
Lopholaimus antarcticus	"(Shaw, 1794)"	R
Hemiphaga novaeseelandiae	"(Gmelin, 1789)"	R
Hemiphaga spadicea	"(Latham ,1802)"	NR
Hemiphaga chathamensis	"(Rothschild, 1891)"	UR
Cryptophaps poecilorrhoa	"(Br�ggemann, 1876)"	R
Gymnophaps albertisii	"Salvadori, 1874"	R
Gymnophaps mada	"(Hartert, 1899)"	R
Gymnophaps solomonensis	"Mayr, 1931"	R
Nestor notabilis	"Gould, 1856"	R
Nestor productus	"(Gould, 1836)"	R
Nestor meridionalis	"(Gmelin, 1788)"	R
Strigops habroptila	"Gray, 1845"	R
Psittrichas fulgidus	"(Lesson, 1830)"	R
Loriculus vernalis	"(Sparrman, 1787)"	R
Loriculus beryllinus	"(Forster, 1781)"	R
Loriculus philippensis	"(M�ller, 1776)"	R
Loriculus bonapartei	"Souanc�, 1856"	NR
Loriculus salvadorii	"Hachisuka, 1930"	NR
Loriculus camiguinensis	"(Tello, Degner, Bates & Willard, 2006)"	NR
Loriculus galgulus	"(Linnaeus, 1758)"	R
Loriculus stigmatus	"(M�ller, 1843)"	R
Loriculus amabilis	"Wallace, 1862"	NR
Loriculus amabilis	"Wallace, 1862"	R
Loriculus sclateri	"Wallace, 1863"	R
Loriculus catamene	"Schlegel, 1873"	R
Loriculus aurantiifrons	"Schlegel, 1873"	R
Loriculus tener	"Sclater, 1877"	R
Loriculus exilis	"Schlegel, 1866"	R
Loriculus pusillus	"Gray, 1859"	R
Loriculus flosculus	"Wallace, 1864"	R
Micropsitta keiensis	"(Salvadori, 1875)"	R
Micropsitta geelvinkiana	"(Schlegel, 1871)"	R
Micropsitta pusio	"(Sclater, 1866)"	R
Micropsitta meeki	"Rothschild & Hartert, 1924"	R
Micropsitta finschii	"(Ramsay, 1881)"	R
Micropsitta bruijnii	"(Salvadori, 1875)"	R
Probosciger aterrimus	"(Gmelin, 1788)"	R
Calyptorhynchus baudinii	"Lear, 1832"	R
Calyptorhynchus latirostris	"Carnaby, 1948"	R
Calyptorhynchus funereus	"(Shaw, 1794)"	R
Calyptorhynchus banksii	"(Latham, 1790)"	R
Calyptorhynchus lathami	"(Temminck, 1807)"	R
Callocephalon fimbriatum	"(Grant, 1803)"	R
Cacatua roseicapilla	"(Vieillot, 1817)"	R
Cacatua leadbeateri	"(Vigors, 1831)"	R
Cacatua sulphurea	"(Gmelin, 1788)"	R
Cacatua galerita	"(Latham, 1790)"	R
Cacatua ophthalmica	"Sclater, 1864"	R
Cacatua moluccensis	"(Gmelin, 1788)"	R
Cacatua alba	"(M�ller, 1776)"	R
Cacatua haematuropygia	"(M�ller, 1776)"	R
Cacatua goffiniana	"(Finsch, 1863)"	R
Cacatua sanguinea	"Gould, 1843"	R
Cacatua pastinator	"(Gould, 1841)"	R
Cacatua tenuirostris	"(Kuhl, 1820)"	R
Cacatua ducorpsii	"Pucheran, 1853"	R
Nymphicus hollandicus	"(Kerr, 1792)"	R
Necropsittacus rodericanus	"(Milne-Edwards, 1867)"	R
Chalcopsitta atra	"(Scopoli, 1786)"	R
Chalcopsitta duivenbodei	"(Dubois, 1884)"	R
Chalcopsitta sintillata	"Temminck, 1835"	R
Chalcopsitta cardinalis	"(Gray, 1849)"	R
Eos histrio	"(M�ller, 1776)"	R
Eos squamata	"(Boddaert, 1783)"	R
Eos bornea	"(Linnaeus, 1758)"	R
Eos goodfellowi	"(Ogilvie-Grant, 1907)"	NR
Eos reticulata	"(M�ller, 1841)"	R
Eos cyanogenia	"Bonaparte, 1850"	R
Eos semilarvata	"Bonaparte, 1850"	R
Pseudeos fuscata	"(Blyth, 1858)"	R
Trichoglossus ornatus	"(Linnaeus, 1758)"	R
Trichoglossus rubritorquis	"Vigors & Horsfield, 1827"	NR
Trichoglossus haematodus	"(Linnaeus, 1771)"	NR
Trichoglossus haematodus	"(Linnaeus, 1771)"	R
Trichoglossus euteles	"(Temminck, 1835)"	R
Trichoglossus flavoviridis	"Wallace, 1863"	R
Trichoglossus johnstoniae	"Hartert, 1903"	R
Trichoglossus rubiginosus	"(Bonaparte, 1850)"	R
Trichoglossus chlorolepidotus	"(Kuhl, 1820)"	R
Psitteuteles versicolor	"Lear, 1831"	R
Psitteuteles iris	"(Temminck, 1835)"	R
Psitteuteles goldiei	"Sharpe, 1882"	R
Lorius garrulus	"(Linnaeus, 1758)"	R
Lorius domicella	"(Linnaeus, 1758)"	R
Lorius tibialis	"(Sclater, 1871)"	NR
Lorius lory	"(Linnaeus, 1758)"	R
Lorius hypoinochrous	"Gray, 1859"	R
Lorius amabilis	"(Stresemann, 1931)"	NR
Lorius albidinucha	"(Rothschild & Hartert, 1924)"	R
Lorius chlorocercus	"Gould, 1856"	R
Phigys solitarius	"(Suckow, 1800)"	R
Vini australis	"(Gmelin, 1788)"	R
Vini kuhlii	"(Vigors, 1824)"	R
Vini stepheni	"(North, 1908)"	R
Vini peruviana	"(M�ller, 1776)"	R
Vini ultramarina	"(Kuhl, 1820)"	R
Glossopsitta concinna	"(Shaw, 1791)"	R
Glossopsitta pusilla	"(Shaw, 1790)"	R
Glossopsitta porphyrocephala	"(Dietrichsen, 1837)"	R
Charmosyna palmarum	"(Gmelin, 1788)"	R
Charmosyna rubrigularis	"(Sclater, 1881)"	R
Charmosyna meeki	"(Rothschild & Hartert, 1901)"	R
Charmosyna toxopei	"(Siebers, 1930)"	R
Charmosyna multistriata	"(Rothschild, 1911)"	R
Charmosyna wilhelminae	"(Meyer, 1874)"	R
Charmosyna rubronotata	"(Wallace, 1862)"	R
Charmosyna placentis	"(Temminck, 1834)"	R
Charmosyna diadema	"(Verreaux & Des Murs, 1860)"	R
Charmosyna amabilis	"(Ramsay, 1875)"	R
Charmosyna margarethae	"Tristram, 1879"	R
Charmosyna pulchella	"Gray, 1859"	R
Charmosyna josefinae	"(Finsch, 1873)"	R
Charmosyna papou	"(Scopoli, 1786)"	R
Oreopsittacus arfaki	"(Meyer, 1874)"	R
Neopsittacus musschenbroekii	"(Schlegel, 1871)"	R
Neopsittacus pullicauda	"Hartert, 1896"	R
Prosopeia splendens	"(Peale, 1848)"	R
Prosopeia personata	"(Gray, 1848)"	R
Prosopeia tabuensis	"(Gmelin, 1788)"	R
Eunymphicus cornutus	"(Gmelin, 1788)"	NR
Eunymphicus cornutus	"(Gmelin, 1788)"	R
Eunymphicus uvaeensis	"(Layard, 1882)"	R
Cyanoramphus ulietanus	"(Gmelin, 1788)"	R
Cyanoramphus unicolor	"(Lear, 1831)"	R
Cyanoramphus cookii	"(Gray, 1859)"	R
Cyanoramphus novaezelandiae	"(Sparrman, 1787)"	NR
Cyanoramphus novaezelandiae	"(Sparrman, 1787)"	NR
Cyanoramphus novaezelandiae	"(Sparrman, 1787)"	R
Cyanoramphus saisseti	"Verreaux & Des Murs, 1860"	R
Cyanoramphus auriceps	"(Kuhl, 1820)"	NR
Cyanoramphus auriceps	"(Kuhl, 1820)"	R
Cyanoramphus forbesi	"Rothschild, 1893"	R
Cyanoramphus malherbi	"Souanc�, 1857"	R
Cyanoramphus zealandicus	"(Latham, 1790)"	R
Purpureicephalus spurius	"(Kuhl, 1820)"	R
Barnardius zonarius	"(Vigors & Horsfield, 1827)"	R
Platycercus zonarius	"Shaw, 1805"	NR
Platycercus barnardi	"Vigors & Horsfield, 1827"	NR
Platycercus caledonicus	"(Gmelin, 1788)"	R
Platycercus flaveolus	"Gould, 1837"	NR
Platycercus elegans	"(Gmelin, 1788)"	NR
Platycercus elegans	"(Gmelin, 1788)"	R
Platycercus venustus	"(Kuhl, 1820)"	R
Platycercus adscitus	"(Latham, 1790)"	R
Platycercus eximius	"(Shaw, 1792)"	R
Platycercus icterotis	"(Kuhl, 1820)"	R
Northiella haematogaster	"(Gould, 1838)"	R
Psephotus haematonotus	"(Gould, 1838)"	R
Psephotus varius	"Clark, 1910"	R
Psephotus dissimilis	"Collett, 1898"	R
Psephotus chrysopterygius	"Gould, 1858"	R
Psephotus pulcherrimus	"(Gould, 1845)"	R
Neopsephotus bourkii	"(Gould, 1841)"	R
Neophema chrysostoma	"(Kuhl, 1820)"	R
Neophema elegans	"(Gould, 1837)"	R
Neophema petrophila	"(Gould, 1841)"	R
Neophema chrysogaster	"(Latham, 1790)"	R
Neophema pulchella	"(Shaw, 1792)"	R
Neophema splendida	"(Gould, 1841)"	R
Lathamus discolor	"(White, 1790)"	R
Melopsittacus undulatus	"(Shaw, 1805)"	R
Pezoporus wallicus	"Kerr, 1792"	R
Pezoporus flaviventris	"North, 1911"	NR
Pezoporus occidentalis	"Gould, 1861"	R
Psittacella brehmii	"Schlegel, 1873"	R
Psittacella picta	"Rothschild, 1896"	R
Psittacella modesta	"Schlegel, 1873"	R
Psittacella madaraszi	"Meyer, 1886"	R
Psittinus cyanurus	"(Forster, 1795)"	R
Geoffroyus geoffroyi	"(Bechstein, 1811)"	R
Geoffroyus simplex	"(Meyer, 1874)"	R
Geoffroyus heteroclitus	"(Hombron & Jacquinot, 1841)"	R
Prioniturus montanus	"Ogilvie-Grant, 1895"	R
Prioniturus waterstradti	"Rothschild, 1904"	R
Prioniturus platenae	"Blasius, 1888"	R
Prioniturus luconensis	"Steere, 1890"	R
Prioniturus discurus	"(Vieillot, 1818)"	R
Prioniturus verticalis	"Sharpe, 1893"	R
Prioniturus flavicans	"Cassin, 1853"	R
Prioniturus platurus	"(Vieillot, 1818)"	R
Prioniturus mada	"Hartert, 1900"	R
Tanygnathus megalorynchos	"(Boddaert, 1783)"	R
Tanygnathus lucionensis	"(Linnaeus, 1766)"	R
Tanygnathus sumatranus	"(Raffles, 1822)"	R
Tanygnathus gramineus	"(Gmelin, 1788)"	R
Eclectus roratus	"(M�ller, 1776)"	R
Alisterus scapularis	"(Lichtenstein, 1818)"	R
Alisterus amboinensis	"(Linnaeus, 1766)"	R
Alisterus chloropterus	"(Ramsay, 1879)"	R
Aprosmictus jonquillaceus	"(Vieillot, 1818)"	R
Aprosmictus erythropterus	"(Gmelin, 1788)"	R
Polytelis swainsonii	"(Desmarest, 1826)"	R
Polytelis anthopeplus	"(Lear, 1831)"	R
Polytelis alexandrae	"Gould, 1863"	R
Mascarinus mascarinus	"(Linnaeus, 1771)"	R
Psittacula eupatria	"(Linnaeus, 1766)"	R
Psittacula wardi	"(E. Newton, 1867)"	R
Psittacula krameri	"(Scopoli, 1769)"	R
Psittacula eques	"(Newton & Newton, 1876)"	R
Psittacula exsul	"(Newton, 1872)"	R
Psittacula himalayana	"(Lesson, 1832)"	R
Psittacula finschii	"(Hume, 1874)"	R
Psittacula intermedia	"(Rothschild, 1895)"	NR
Psittacula cyanocephala	"(Linnaeus, 1766)"	R
Psittacula roseata	"Biswas, 1951"	R
Psittacula columboides	"(Vigors, 1830)"	R
Psittacula calthropae	"(Blyth, 1849)"	R
Psittacula derbiana	"(Fraser, 1852)"	R
Psittacula alexandri	"(Linnaeus, 1758)"	R
Psittacula caniceps	"(Blyth, 1846)"	R
Psittacula longicauda	"(Boddaert, 1783)"	R
Agapornis canus	"(Gmelin, 1788)"	R
Agapornis pullarius	"(Linnaeus, 1758)"	R
Agapornis taranta	"(Stanley, 1814)"	R
Agapornis swindernianus	"(Kuhl, 1820)"	R
Agapornis roseicollis	"(Vieillot, 1818)"	R
Agapornis fischeri	"Reichenow, 1887"	R
Agapornis personatus	"Reichenow, 1887"	R
Agapornis lilianae	"Shelley, 1894"	R
Agapornis nigrigenis	"Sclater, 1906"	R
Coracopsis vasa	"(Shaw, 1812)"	R
Coracopsis nigra	"(Linnaeus, 1758)"	R
Psittacus erithacus	"Linnaeus, 1758"	NR
Psittacus erithacus	"Linnaeus, 1758"	R
Psittacus timneh	"Fraser, 1844"	R
Poicephalus robustus	"(Gmelin, 1788)"	R
Poicephalus fuscicollis	"(Kuhl, 1820)"	NR
Poicephalus gulielmi	"(Jardine, 1849)"	R
Poicephalus senegalus	"(Linnaeus, 1766)"	R
Poicephalus crassus	"(Sharpe, 1884)"	R
Poicephalus meyeri	"(Cretzschmar, 1827)"	R
Poicephalus flavifrons	"(R�ppell, 1845)"	R
Poicephalus rufiventris	"(R�ppell, 1845)"	R
Poicephalus cryptoxanthus	"(Peters, 1854)"	R
Poicephalus rueppellii	"(Gray, 1849)"	R
Lophopsittacus bensoni	"Holyoak, 1973"	R
Lophopsittacus mauritianus	"(Owen, 1866)"	R
Anodorhynchus hyacinthinus	"(Latham, 1790)"	R
Anodorhynchus leari	"Bonaparte, 1856"	R
Anodorhynchus glaucus	"(Vieillot, 1816)"	R
Cyanopsitta spixii	"(Wagler, 1832)"	R
Ara gossei	"Rothschild, 1905"	R
Ara atwoodi	"Clark, 1908"	R
Ara erythrocephala	"Gosse, 1847"	R
Ara erythrura	"(Rothschild, 1907)"	NR
Ara guadeloupensis	"Clark, 1905"	R
Ara ararauna	"(Linnaeus, 1758)"	R
Ara glaucogularis	"Dabbene, 1921"	R
Ara militaris	"(Linnaeus, 1766)"	R
Ara ambiguus	"(Bechstein, 1811)"	R
Ara macao	"(Linnaeus, 1758)"	R
Ara chloropterus	"Gray, 1859"	R
Ara cubensis	"Wetherbee, 1985"	NR
Ara tricolor	"Bechstein, 1811"	NR
Ara tricolor	"Bechstein, 1811"	R
Ara rubrogenys	"Lafresnaye, 1847"	R
Ara severus	"(Linnaeus, 1758)"	R
Orthopsittaca manilata	"(Boddaert, 1783)"	R
Primolius couloni	"(P. L. Sclater, 1876)"	R
Primolius maracana	"(Vieillot, 1816)"	R
Primolius auricollis	"(Cassin, 1853)"	R
Diopsittaca nobilis	"(Linnaeus, 1758)"	R
Rhynchopsitta pachyrhyncha	"(Swainson, 1827)"	R
Rhynchopsitta terrisi	"Moore, 1947"	R
Ognorhynchus icterotis	"(Massena & Souanc�, 1854)"	R
Guaruba guarouba	"(Gmelin, 1788)"	R
Aratinga labati	"(Rothschild, 1905)"	R
Aratinga acuticaudata	"(Vieillot, 1818)"	R
Aratinga holochlora	"(Sclater, 1859)"	NR
Aratinga holochlora	"(Sclater, 1859)"	NR
Aratinga holochlora	"(Sclater, 1859)"	R
Aratinga brevipes	"(Lawrence, 1871)"	R
Aratinga rubritorquis	"(Sclater, 1887)"	R
Aratinga strenua	"(Ridgway, 1915)"	NR
Aratinga wagleri	"(Gray, 1845)"	R
Aratinga mitrata	"(Tschudi, 1844)"	R
Aratinga erythrogenys	"(Lesson, 1844)"	R
Aratinga finschi	"(Salvin, 1871)"	R
Aratinga leucophthalma	"(M�ller, 1776)"	R
Aratinga euops	"(Wagler, 1832)"	R
Aratinga chloroptera	"(Souanc�, 1856)"	R
Aratinga solstitialis	"(Linnaeus, 1758)"	R
Aratinga maculata	"(M�ller, 1776)"	UR
Aratinga jandaya	"(Gmelin, 1788)"	R
Aratinga auricapillus	"(Kuhl, 1820)"	R
Aratinga weddellii	"(Deville, 1851)"	R
Aratinga nana	"(Vigors, 1830)"	R
Aratinga canicularis	"(Linnaeus, 1758)"	R
Aratinga aurea	"(Gmelin, 1788)"	R
Aratinga pertinax	"(Linnaeus, 1758)"	R
Aratinga cactorum	"(Kuhl, 1820)"	R
Nandayus nenday	"(Vieillot, 1823)"	R
Leptosittaca branickii	"Berlepsch & Stolzmann, 1894"	R
Conuropsis carolinensis	"(Linnaeus, 1758)"	R
Cyanoliseus patagonus	"(Vieillot, 1818)"	R
Pyrrhura cruentata	"(Wied, 1820)"	R
Pyrrhura devillei	"(Massena & Souanc�, 1854)"	R
Pyrrhura frontalis	"(Vieillot, 1818)"	R
Pyrrhura lepida	"(Wagler, 1832)"	R
Pyrrhura perlata	"(Spix, 1824)"	R
Pyrrhura molinae	"(Massena & Souanc�, 1854)"	R
Pyrrhura hypoxantha	"(Collar & Andrew, 1988)"	NR
Pyrrhura picta	"(M�ller, 1776)"	R
Pyrrhura leucotis	"(Kuhl, 1820)"	NR
Pyrrhura leucotis	"(Kuhl, 1820)"	R
Pyrrhura griseipectus	"Salvadori, 1900"	R
Pyrrhura pfrimeri	"Miranda-Ribeiro, 1920"	R
Pyrrhura viridicata	"Todd, 1913"	R
Pyrrhura egregia	"(Sclater, 1881)"	R
Pyrrhura melanura	"(Spix, 1824)"	R
Pyrrhura chapmani	"Bond & Meyer de Schauensee, 1940"	NR
Pyrrhura orcesi	"Ridgely & Robbins, 1988"	R
Pyrrhura rupicola	"(Tschudi, 1844)"	R
Pyrrhura albipectus	"Chapman, 1914"	R
Pyrrhura calliptera	"(Massena & Souanc�, 1854)"	R
Pyrrhura hoematotis	"Souanc�, 1857"	R
Pyrrhura rhodocephala	"(Sclater & Salvin, 1871)"	R
Pyrrhura hoffmanni	"(Cabanis, 1861)"	R
Enicognathus ferrugineus	"(M�ller, 1776)"	R
Enicognathus leptorhynchus	"(King, 1831)"	R
Myiopsitta monachus	"(Boddaert, 1783)"	R
Psilopsiagon aymara	"(d'Orbigny, 1839)"	R
Psilopsiagon aurifrons	"(Lesson, 1830)"	R
Bolborhynchus lineola	"(Cassin, 1853)"	R
Bolborhynchus orbygnesius	"(Souanc�, 1856)"	R
Bolborhynchus ferrugineifrons	"(Lawrence, 1880)"	R
Forpus cyanopygius	"(Souanc�, 1856)"	R
Forpus passerinus	"(Linnaeus, 1758)"	R
Forpus xanthopterygius	"(Taczanowski, 1883)"	R
Forpus conspicillatus	"(Lafresnaye, 1848)"	R
Forpus modestus	"(Gray, 1859)"	R
Forpus coelestis	"(Lesson, 1847)"	R
Forpus xanthops	"(Salvin, 1895)"	R
Brotogeris tirica	"(Gmelin, 1788)"	R
Brotogeris versicolurus	"(M�ller, 1776)"	R
Brotogeris chiriri	"(Vieillot, 1818)"	R
Brotogeris pyrrhoptera	"(Latham, 1801)"	R
Brotogeris jugularis	"(M�ller, 1776)"	R
Brotogeris cyanoptera	"(Salvadori, 1891)"	R
Brotogeris chrysoptera	"(Linnaeus, 1766)"	R
Brotogeris sanctithomae	"(M�ller, 1776)"	R
Nannopsittaca panychlora	"(Salvin & Godman, 1883)"	R
Nannopsittaca dachilleae	"O'Neil, Munn & Franke, 1991"	R
Touit batavicus	"(Boddaert, 1783)"	R
Touit huetii	"(Temminck, 1830)"	R
Touit costaricensis	"(Cory, 1913)"	R
Touit dilectissimus	"(Sclater & Salvin, 1871)"	R
Touit purpuratus	"(Gmelin, 1788)"	R
Touit melanonotus	"(Wied, 1820)"	R
Touit surdus	"(Kuhl, 1820)"	R
Touit stictopterus	"(Sclater, 1862)"	R
Pionites melanocephalus	"(Linnaeus, 1758)"	R
Pionites leucogaster	"(Kuhl, 1820)"	R
Pyrilia haematotis	"(Sclater & Salvin, 1860)"	R
Pyrilia pulchra	"(Berlepsch, 1897)"	R
Pyrilia pyrilia	"(Bonaparte, 1853)"	R
Pyrilia barrabandi	"(Kuhl, 1820)"	R
Pyrilia caica	"(Latham, 1790)"	R
Pyrilia aurantiocephala	"(Gaban-Lima, Raposo & Hofling, 2002)"	R
Pyrilia vulturina	"(Kuhl, 1820)"	R
Hapalopsittaca melanotis	"(Lafresnaye, 1847)"	R
Hapalopsittaca amazonina	"(Des Murs, 1845)"	R
Hapalopsittaca fuertesi	"(Chapman, 1912)"	R
Hapalopsittaca pyrrhops	"(Salvin, 1876)"	R
Pionopsitta pileata	"(Scopoli, 1769)"	R
Graydidascalus brachyurus	"(Kuhl, 1820)"	R
Alipiopsitta xanthops	"(Spix, 1824)"	R
Pionus menstruus	"(Linnaeus, 1766)"	R
Pionus sordidus	"(Linnaeus, 1758)"	R
Pionus maximiliani	"(Kuhl, 1820)"	R
Pionus tumultuosus	"(Tschudi, 1844)"	R
Pionus seniloides	"(Massena & Souanc�, 1854)"	NR
Pionus senilis	"(Spix, 1824)"	R
Pionus chalcopterus	"(Fraser, 1841)"	R
Pionus fuscus	"(M�ller, 1776)"	R
Amazona violacea	"(J. F. Gmelin, 1789)"	R
Amazona martinicana	"A. H. Clark, 1905"	R
Amazona leucocephala	"(Linnaeus, 1758)"	R
Amazona collaria	"(Linnaeus, 1758)"	R
Amazona ventralis	"(M�ller, 1776)"	R
Amazona albifrons	"(Sparrman, 1788)"	R
Amazona xantholora	"(Gray, 1859)"	R
Amazona agilis	"(Linnaeus, 1758)"	R
Amazona vittata	"(Boddaert, 1783)"	R
Amazona tucumana	"(Cabanis, 1885)"	R
Amazona pretrei	"(Temminck, 1830)"	R
Amazona viridigenalis	"(Cassin, 1853)"	R
Amazona finschi	"(Sclater, 1864)"	R
Amazona autumnalis	"(Linnaeus, 1758)"	R
Amazona diadema	"(Spix, 1824)"	NR
Amazona dufresniana	"(Shaw, 1812)"	R
Amazona rhodocorytha	"(Salvadori, 1890)"	R
Amazona brasiliensis	"(Linnaeus, 1758)"	R
Amazona festiva	"(Linnaeus, 1758)"	R
Amazona barbadensis	"(Gmelin, 1788)"	R
Amazona aestiva	"(Linnaeus, 1758)"	R
Amazona oratrix	"Ridgway, 1887"	R
Amazona auropalliata	"(Lesson, 1842)"	R
Amazona ochrocephala	"(Gmelin, 1788)"	R
Amazona amazonica	"(Linnaeus, 1766)"	R
Amazona mercenarius	"(Tschudi, 1844)"	R
Amazona kawalli	"Grantsau & Camargo, 1989"	R
Amazona farinosa	"(Boddaert, 1783)"	R
Amazona vinacea	"(Kuhl, 1820)"	R
Amazona versicolor	"(M�ller, 1776)"	R
Amazona arausiaca	"(M�ller, 1776)"	R
Amazona guildingii	"(Vigors, 1837)"	R
Amazona imperialis	"Richmond, 1899"	R
Deroptyus accipitrinus	"(Linnaeus, 1758)"	R
Triclaria malachitacea	"(Spix, 1824)"	R
Cyclopsitta gulielmitertii	"(Schlegel, 1866)"	R
Cyclopsitta diophthalma	"(Hombron & Jacquinot, 1841)"	R
Psittaculirostris desmarestii	"(Desmarest, 1826)"	R
Psittaculirostris edwardsii	"(Oustalet, 1885)"	R
Psittaculirostris salvadorii	"(Oustalet, 1880)"	R
Bolbopsittacus lunulatus	"(Scopoli, 1786)"	R
Opisthocomus hoazin	"(M�ller, 1776)"	R
Corythaeola cristata	"(Vieillot, 1816)"	R
Tauraco persa	"(Linnaeus, 1758)"	R
Tauraco schuetti	"(Cabanis, 1879)"	R
Tauraco schalowi	"(Reichenow, 1891)"	R
Tauraco fischeri	"(Reichenow, 1878)"	R
Tauraco livingstonii	"(Gray, 1864)"	R
Tauraco corythaix	"(Wagler, 1827)"	R
Tauraco bannermani	"(Bates, 1923)"	R
Tauraco erythrolophus	"(Vieillot, 1819)"	R
Tauraco macrorhynchus	"(Fraser, 1839)"	R
Tauraco leucotis	"(R�ppell, 1835)"	R
Tauraco ruspolii	"(Salvadori, 1896)"	R
Tauraco hartlaubi	"(Fischer & Reichenow, 1884)"	R
Tauraco leucolophus	"(Heuglin, 1855)"	R
Tauraco porphyreolophus	"(Vigors, 1831)"	R
Ruwenzorornis johnstoni	"(Sharpe, 1901)"	R
Musophaga violacea	"Isert, 1789"	R
Musophaga rossae	"Gould, 1852"	R
Corythaixoides concolor	"(Smith, 1833)"	R
Corythaixoides personatus	"(R�ppell, 1842)"	R
Corythaixoides leucogaster	"(R�ppell, 1842)"	R
Crinifer piscator	"(Boddaert, 1783)"	R
Crinifer zonurus	"(R�ppell, 1835)"	R
Nannococcyx psix	"Olson, 1975"	R
Clamator jacobinus	"(Boddaert, 1783)"	R
Clamator levaillantii	"(Swainson, 1829)"	R
Clamator coromandus	"(Linnaeus, 1766)"	R
Clamator glandarius	"(Linnaeus, 1758)"	R
Pachycoccyx audeberti	"(Schlegel, 1879)"	R
Cuculus crassirostris	"Walden, 1872"	R
Cuculus sparverioides	"Vigors, 1832"	R
Cuculus varius	"Vahl, 1797"	R
Cuculus hyperythrus	"Gould, 1856"	UR
Cuculus nisicolor	"Blyth, 1843"	UR
Cuculus pectoralis	"(Cabanis & Heine, 1863)"	UR
Cuculus vagans	"M�ller, 1845"	R
Cuculus fugax	"Horsfield, 1821"	R
Cuculus solitarius	"Stephens, 1815"	R
Cuculus clamosus	"Latham, 1801"	R
Cuculus micropterus	"Gould, 1837"	R
Cuculus canorus	"Linnaeus, 1758"	R
Cuculus gularis	"Stephens, 1815"	R
Cuculus saturatus	"Blyth, 1843"	NR
Cuculus saturatus	"Blyth, 1843"	R
Cuculus optatus	"Gould, 1845"	R
Cuculus lepidus	"S. M�ller, 1845"	R
Cuculus poliocephalus	"Latham, 1790"	R
Cuculus rochii	"Hartlaub, 1863"	R
Cuculus pallidus	"(Latham, 1801)"	R
Cercococcyx mechowi	"Cabanis, 1882"	R
Cercococcyx olivinus	"Sassi, 1912"	R
Cercococcyx montanus	"Chapin, 1928"	R
Cacomantis sonneratii	"(Latham, 1790)"	R
Cacomantis passerinus	"(Vahl, 1797)"	R
Cacomantis merulinus	"(Scopoli, 1786)"	R
Cacomantis sepulcralis	"M�ller, 1843"	R
Cacomantis variolosus	"(Vigors & Horsfield, 1826)"	R
Cacomantis castaneiventris	"(Gould, 1867)"	R
Cacomantis heinrichi	"Stresemann, 1931"	R
Cacomantis flabelliformis	"Latham, 1801"	R
Chrysococcyx rufomerus	"Hartert, 1900"	NR
Chrysococcyx minutillus	"Gould, 1859"	NR
Chrysococcyx minutillus	"Gould, 1859"	NR
Chrysococcyx minutillus	"Gould, 1859"	R
Chrysococcyx russatus	"Gould, 1868"	R
Chrysococcyx crassirostris	"(Salvadori, 1878)"	R
Chrysococcyx lucidus	"(Gmelin, 1788)"	R
Chrysococcyx basalis	"(Horsfield, 1821)"	R
Chrysococcyx ruficollis	"(Salvadori, 1875)"	R
Chrysococcyx meyeri	"(Salvadori, 1874)"	R
Chrysococcyx maculatus	"(Gmelin, 1788)"	R
Chrysococcyx xanthorhynchus	"(Horsfield, 1821)"	R
Chrysococcyx osculans	"(Gould, 1847)"	R
Chrysococcyx flavigularis	"Shelley, 1880"	R
Chrysococcyx klaas	"(Stephens, 1815)"	R
Chrysococcyx cupreus	"(Shaw, 1792)"	R
Chrysococcyx caprius	"(Boddaert, 1783)"	R
Rhamphomantis megarhynchus	"(Gray, 1858)"	R
Surniculus lugubris	"(Horsfield, 1821)"	R
Surniculus dicruroides	"(Hodgson, 1839)"	UR
Surniculus musschenbroeki	"A. B. Meyer, 1878"	UR
Surniculus velutinus	"Sharpe, 1877"	UR
Caliechthrus leucolophus	"(M�ller, 1840)"	R
Microdynamis parva	"(Salvadori, 1875)"	R
Eudynamys scolopaceus	"(Linnaeus, 1758)"	R
Eudynamys scolopacea	"(Linnaeus, 1758)"	NR
Eudynamys melanorhynchus	"S. M�ller, 1843"	R
Eudynamys orientalis	"(Latham, 1801)"	R
Eudynamys taitensis	"(Sparrman, 1787)"	R
Scythrops novaehollandiae	"Latham, 1790"	R
Ceuthmochares aereus	"(Vieillot, 1817)"	R
Phaenicophaeus diardi	"(Lesson, 1830)"	R
Phaenicophaeus sumatranus	"(Raffles, 1822)"	R
Phaenicophaeus tristis	"(Lesson, 1830)"	R
Phaenicophaeus viridirostris	"(Jerdon, 1840)"	R
Phaenicophaeus leschenaultii	"(Lesson, 1830)"	R
Phaenicophaeus chlorophaeus	"(Raffles, 1822)"	R
Phaenicophaeus javanicus	"Horsfield, 1821"	R
Phaenicophaeus calyorhynchus	"Temminck, 1825"	R
Phaenicophaeus curvirostris	"(Shaw, 1810)"	R
