Scientific name	Authority	Status
Ortalis poliocephala	"(Wagler, 1830)"	R
Ortalis canicollis	"(Wagler, 1830)"	R
Ortalis leucogastra	"(Gould, 1843)"	R
Ortalis guttata	"(Spix, 1825)"	NR
Ortalis guttata	"(Spix, 1825)"	R
Ortalis columbiana	"Hellmayr, 1906"	R
Ortalis araucuan	"(Spix, 1825)"	NR
Ortalis motmot	"(Linnaeus, 1766)"	R
Ortalis superciliaris	"Gray, 1867"	R
Oreophasis derbianus	"Gray, 1844"	R
Nothocrax urumutum	"(Spix, 1825)"	R
Crax rubra	"Linnaeus, 1758"	R
Crax alberti	"Fraser, 1852"	R
Crax daubentoni	"Gray, 1867"	R
Crax alector	"Linnaeus, 1766"	R
Crax globulosa	"Spix, 1825"	R
Crax fasciolata	"Spix, 1825"	R
Crax blumenbachii	"Spix, 1825"	R
Mitu tomentosum	"(Spix, 1825)"	R
Mitu salvini	"(Reinhardt, 1879)"	R
Mitu tuberosum	"(Spix, 1825)"	R
Mitu mitu	"(Linnaeus, 1766)"	R
Pauxi pauxi	"(Linnaeus, 1766)"	R
Pauxi unicornis	"Bond & Meyer de Schauensee, 1939"	R
Agelastes meleagrides	"Bonaparte, 1850"	R
Agelastes niger	"(Cassin, 1857)"	R
Numida meleagris	"(Linnaeus, 1758)"	R
Guttera plumifera	"(Cassin, 1857)"	R
Guttera pucherani	"(Hartlaub, 1860)"	R
Acryllium vulturinum	"(Hardwicke, 1834)"	R
Dendrortyx barbatus	"Gould, 1846"	R
Dendrortyx macroura	"(Jardine & Selby, 1828)"	R
Dendrortyx leucophrys	"(Gould, 1844)"	R
Oreortyx pictus	"(Douglas, 1829)"	R
Callipepla squamata	"(Vigors, 1830)"	R
Callipepla douglasii	"(Vigors, 1829)"	R
Callipepla californica	"(Shaw, 1798)"	R
Callipepla gambelii	"Gambel, 1843"	R
Philortyx fasciatus	"(Gould, 1844)"	R
Colinus virginianus	"(Linnaeus, 1758)"	R
Colinus ridgwayi	"Brewster, 1885"	NR
Colinus nigrogularis	"(Gould, 1843)"	R
Colinus cristatus	"(Linnaeus, 1766)"	R
Odontophorus gujanensis	"(Gmelin, 1789)"	R
Odontophorus capueira	"(Spix, 1825)"	R
Odontophorus melanotis	"Salvin, 1865"	R
Odontophorus erythrops	"Gould, 1859"	R
Odontophorus atrifrons	"Allen, 1900"	R
Odontophorus hyperythrus	"Gould, 1858"	R
Odontophorus melanonotus	"Gould, 1860"	R
